station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon,geohash
BR01,BR13,動物園,Taipei Zoo,BR,文湖線,台北市文山區新光路二段32號,24.998197,121.579338,wsqqnwg35ctj
BR02,BR12,木柵,Muzha,BR,文湖線,台北市文山區木柵路四段135號,24.998241,121.573145,wsqqnqyc79gk
BR03,BR11,萬芳社區,Wanfang Community,BR,文湖線,台北市文山區萬芳路60號,24.998585,121.568102,wsqqnqg5q44b
BR04,BR10,萬芳醫院,Wanfang Hospital,BR,文湖線,台北市文山區興隆路三段113號,24.999386,121.558152,wsqqnngzyprd
BR05,BR9,辛亥,Xinhai,BR,文湖線,台北市文山區辛亥路四段128號,25.005475,121.557107,wsqqq055mykk
BR06,BR8,麟光,Linguang,BR,文湖線,台北市大安區和平東路三段410號,25.018535,121.558791,wsqqq4krt0un
BR07,BR7,六張犁,Liuzhangli,BR,文湖線,台北市大安區和平東路三段168號,25.023777,121.553115,wsqqq52q0f5u
BR08,BR6,科技大樓,Technology Building,BR,文湖線,台北市大安區復興南路二段235號,25.026125,121.543437,wsqqmgc5xrg6
BR09,BR5,大安,Daan,BR,文湖線,台北市大安區信義路四段2號,25.032943,121.543551,wsqqmv176nb3
BR10,BR4,忠孝復興,Zhongxiao Fuxing,BR,文湖線,台北市大安區忠孝東路四段47號,25.041629,121.543767,wsqqmy9qp1cr
BR11,BR3,南京復興,Nanjing Fuxing,BR,文湖線,台北市松山區南京東路三段253號,25.052319,121.544011,wsqqtb9skdxr
BR12,BR2,中山國中,Zhongshan Junior High School,BR,文湖線,台北市中山區復興北路376號,25.060849,121.544227,wsqqtf1y1bb7
BR13,BR1,松山機場,Songshan Airport,BR,文湖線,台北市松山區敦化北路338號,25.063,121.551996,wsqqtfx6wcc6
BR14,B1,大直,Dazhi,BR,文湖線,台北市中山區北安路534之1號,25.079477,121.546895,wsqqtvedxcmg
BR15,B2,劍南路,Jiannan Rd.,BR,文湖線,台北市中山區北安路798號,25.084853,121.555592,wsqqwnd1fedb
BR16,B3,西湖,Xihu,BR,文湖線,台北市內湖區內湖路一段256號,25.082133,121.567213,wsqqwq4d12kp
BR17,B4,港墘,Gangqian,BR,文湖線,台北市內湖區內湖路一段663號,25.080028,121.575081,wsqqwt8mb8nf
BR18,B5,文德,Wende,BR,文湖線,台北市內湖區文德路214號,25.078532,121.584761,wsqqwtrm430y
BR19,B6,內湖,Neihu,BR,文湖線,台北市內湖區成功路四段186號,25.083661,121.594408,wsqqwyq6gj64
